--------- beginning of main
09-01 20:23:37.597 D/OKTV_DIAGNOSTIC(29830): state=3 | isPlaying=true | isLoading=true | pos=1097 | posDelta=1003 | buffered=5040 | bufferDelta=0 | totalBuf=3942 | video=video/avc 800x450 25.0fps | audio=audio/mp4a-latm 1ch 24000Hz | renderedFrames=653 | frameDelta=25
09-01 20:23:38.615 D/OKTV_DIAGNOSTIC(29830): state=3 | isPlaying=true | isLoading=true | pos=2103 | posDelta=1006 | buffered=6520 | bufferDelta=1480 | totalBuf=4416 | video=video/avc 800x450 25.0fps | audio=audio/mp4a-latm 1ch 24000Hz | renderedFrames=678 | frameDelta=25
09-01 20:23:39.616 D/OKTV_DIAGNOSTIC(29830): state=3 | isPlaying=true | isLoading=true | pos=3117 | posDelta=1014 | buffered=8880 | bufferDelta=2360 | totalBuf=5762 | video=video/avc 800x450 25.0fps | audio=audio/mp4a-latm 1ch 24000Hz | renderedFrames=703 | frameDelta=25
09-01 20:23:40.618 D/OKTV_DIAGNOSTIC(29830): state=3 | isPlaying=true | isLoading=true | pos=4123 | posDelta=1006 | buffered=9960 | bufferDelta=1080 | totalBuf=5836 | video=video/avc 800x450 25.0fps | audio=audio/mp4a-latm 1ch 24000Hz | renderedFrames=728 | frameDelta=25
09-01 20:23:41.618 D/OKTV_DIAGNOSTIC(29830): state=3 | isPlaying=true | isLoading=true | pos=124 | posDelta=-3999 | buffered=6240 | bufferDelta=-3720 | totalBuf=6115 | video=video/avc 800x450 25.0fps | audio=audio/mp4a-latm 1ch 24000Hz | renderedFrames=753 | frameDelta=25
09-01 20:23:42.620 D/OKTV_DIAGNOSTIC(29830): state=3 | isPlaying=true | isLoading=true | pos=1120 | posDelta=996 | buffered=7720 | bufferDelta=1480 | totalBuf=6599 | video=video/avc 800x450 25.0fps | audio=audio/mp4a-latm 1ch 24000Hz | renderedFrames=778 | frameDelta=25
09-01 20:23:43.621 D/OKTV_DIAGNOSTIC(29830): state=3 | isPlaying=true | isLoading=true | pos=2118 | posDelta=998 | buffered=9400 | bufferDelta=1680 | totalBuf=7281 | video=video/avc 800x450 25.0fps | audio=audio/mp4a-latm 1ch 24000Hz | renderedFrames=803 | frameDelta=25
09-01 20:23:44.621 D/OKTV_DIAGNOSTIC(29830): state=3 | isPlaying=true | isLoading=false | pos=3126 | posDelta=1008 | buffered=10040 | bufferDelta=640 | totalBuf=6913 | video=video/avc 800x450 25.0fps | audio=audio/mp4a-latm 1ch 24000Hz | renderedFrames=829 | frameDelta=26
09-01 20:23:45.622 D/OKTV_DIAGNOSTIC(29830): state=3 | isPlaying=true | isLoading=false | pos=4121 | posDelta=995 | buffered=10040 | bufferDelta=0 | totalBuf=5918 | video=video/avc 800x450 25.0fps | audio=audio/mp4a-latm 1ch 24000Hz | renderedFrames=853 | frameDelta=24
09-01 20:23:46.624 D/OKTV_DIAGNOSTIC(29830): state=3 | isPlaying=true | isLoading=false | pos=5122 | posDelta=1001 | buffered=10040 | bufferDelta=0 | totalBuf=4917 | video=video/avc 800x450 25.0fps | audio=audio/mp4a-latm 1ch 24000Hz | renderedFrames=878 | frameDelta=25
09-01 20:23:47.626 D/OKTV_DIAGNOSTIC(29830): state=3 | isPlaying=true | isLoading=true | pos=6125 | posDelta=1003 | buffered=10040 | bufferDelta=0 | totalBuf=3914 | video=video/avc 800x450 25.0fps | audio=audio/mp4a-latm 1ch 24000Hz | renderedFrames=903 | frameDelta=25
09-01 20:23:48.627 D/OKTV_DIAGNOSTIC(29830): state=3 | isPlaying=true | isLoading=true | pos=7124 | posDelta=999 | buffered=13400 | bufferDelta=3360 | totalBuf=6275 | video=video/avc 800x450 25.0fps | audio=audio/mp4a-latm 1ch 24000Hz | renderedFrames=929 | frameDelta=26
09-01 20:23:49.629 D/OKTV_DIAGNOSTIC(29830): state=3 | isPlaying=true | isLoading=true | pos=8133 | posDelta=1009 | buffered=15040 | bufferDelta=1640 | totalBuf=6906 | video=video/avc 800x450 25.0fps | audio=audio/mp4a-latm 1ch 24000Hz | renderedFrames=954 | frameDelta=25
09-01 20:23:50.631 D/OKTV_DIAGNOSTIC(29830): state=3 | isPlaying=true | isLoading=true | pos=9131 | posDelta=998 | buffered=16240 | bufferDelta=1200 | totalBuf=7108 | video=video/avc 800x450 25.0fps | audio=audio/mp4a-latm 1ch 24000Hz | renderedFrames=979 | frameDelta=25
09-01 20:23:51.633 D/OKTV_DIAGNOSTIC(29830): state=3 | isPlaying=true | isLoading=true | pos=132 | posDelta=-8999 | buffered=8720 | bufferDelta=-7520 | totalBuf=8587 | video=video/avc 800x450 25.0fps | audio=audio/mp4a-latm 1ch 24000Hz | renderedFrames=1003 | frameDelta=24
09-01 20:23:52.634 D/OKTV_DIAGNOSTIC(29830): state=3 | isPlaying=true | isLoading=false | pos=1133 | posDelta=1001 | buffered=10040 | bufferDelta=1320 | totalBuf=8906 | video=video/avc 800x450 25.0fps | audio=audio/mp4a-latm 1ch 24000Hz | renderedFrames=1029 | frameDelta=26
09-01 20:23:53.637 D/OKTV_DIAGNOSTIC(29830): state=3 | isPlaying=true | isLoading=false | pos=2142 | posDelta=1009 | buffered=10040 | bufferDelta=0 | totalBuf=7897 | video=video/avc 800x450 25.0fps | audio=audio/mp4a-latm 1ch 24000Hz | renderedFrames=1054 | frameDelta=25
09-01 20:23:54.638 D/OKTV_DIAGNOSTIC(29830): state=3 | isPlaying=true | isLoading=false | pos=3143 | posDelta=1001 | buffered=10040 | bufferDelta=0 | totalBuf=6896 | video=video/avc 800x450 25.0fps | audio=audio/mp4a-latm 1ch 24000Hz | renderedFrames=1079 | frameDelta=25
09-01 20:23:55.639 D/OKTV_DIAGNOSTIC(29830): state=3 | isPlaying=true | isLoading=false | pos=4141 | posDelta=998 | buffered=10040 | bufferDelta=0 | totalBuf=5898 | video=video/avc 800x450 25.0fps | audio=audio/mp4a-latm 1ch 24000Hz | renderedFrames=1104 | frameDelta=25
09-01 20:23:56.639 D/OKTV_DIAGNOSTIC(29830): state=3 | isPlaying=true | isLoading=false | pos=5138 | posDelta=997 | buffered=10040 | bufferDelta=0 | totalBuf=4901 | video=video/avc 800x450 25.0fps | audio=audio/mp4a-latm 1ch 24000Hz | renderedFrames=1129 | frameDelta=25
09-01 20:23:57.641 D/OKTV_DIAGNOSTIC(29830): state=3 | isPlaying=true | isLoading=true | pos=6138 | posDelta=1000 | buffered=10040 | bufferDelta=0 | totalBuf=3901 | video=video/avc 800x450 25.0fps | audio=audio/mp4a-latm 1ch 24000Hz | renderedFrames=1154 | frameDelta=25
09-01 20:23:58.643 D/OKTV_DIAGNOSTIC(29830): state=3 | isPlaying=true | isLoading=true | pos=7149 | posDelta=1011 | buffered=11880 | bufferDelta=1840 | totalBuf=4730 | video=video/avc 800x450 25.0fps | audio=audio/mp4a-latm 1ch 24000Hz | renderedFrames=1179 | frameDelta=25
09-01 20:23:59.643 D/OKTV_DIAGNOSTIC(29830): state=3 | isPlaying=true | isLoading=true | pos=8150 | posDelta=1001 | buffered=15040 | bufferDelta=3160 | totalBuf=6889 | video=video/avc 800x450 25.0fps | audio=audio/mp4a-latm 1ch 24000Hz | renderedFrames=1204 | frameDelta=25
09-01 20:24:00.644 D/OKTV_DIAGNOSTIC(29830): state=3 | isPlaying=true | isLoading=true | pos=9148 | posDelta=998 | buffered=17080 | bufferDelta=2040 | totalBuf=7931 | video=video/avc 800x450 25.0fps | audio=audio/mp4a-latm 1ch 24000Hz | renderedFrames=1229 | frameDelta=25
09-01 20:24:01.646 D/OKTV_DIAGNOSTIC(29830): state=3 | isPlaying=true | isLoading=true | pos=149 | posDelta=-8999 | buffered=9560 | bufferDelta=-7520 | totalBuf=9410 | video=video/avc 800x450 25.0fps | audio=audio/mp4a-latm 1ch 24000Hz | renderedFrames=1254 | frameDelta=25
09-01 20:24:02.647 D/OKTV_DIAGNOSTIC(29830): state=3 | isPlaying=true | isLoading=false | pos=1151 | posDelta=1002 | buffered=10040 | bufferDelta=480 | totalBuf=8888 | video=video/avc 800x450 25.0fps | audio=audio/mp4a-latm 1ch 24000Hz | renderedFrames=1279 | frameDelta=25
09-01 20:24:03.648 D/OKTV_DIAGNOSTIC(29830): state=3 | isPlaying=true | isLoading=false | pos=2152 | posDelta=1001 | buffered=10040 | bufferDelta=0 | totalBuf=7887 | video=video/avc 800x450 25.0fps | audio=audio/mp4a-latm 1ch 24000Hz | renderedFrames=1304 | frameDelta=25
09-01 20:24:04.649 D/OKTV_DIAGNOSTIC(29830): state=3 | isPlaying=true | isLoading=false | pos=3148 | posDelta=996 | buffered=10040 | bufferDelta=0 | totalBuf=6891 | video=video/avc 800x450 25.0fps | audio=audio/mp4a-latm 1ch 24000Hz | renderedFrames=1329 | frameDelta=25
09-01 20:24:05.650 D/OKTV_DIAGNOSTIC(29830): state=3 | isPlaying=true | isLoading=false | pos=4155 | posDelta=1007 | buffered=10040 | bufferDelta=0 | totalBuf=5884 | video=video/avc 800x450 25.0fps | audio=audio/mp4a-latm 1ch 24000Hz | renderedFrames=1354 | frameDelta=25
09-01 20:24:06.651 D/OKTV_DIAGNOSTIC(29830): state=3 | isPlaying=true | isLoading=false | pos=5148 | posDelta=993 | buffered=10040 | bufferDelta=0 | totalBuf=4891 | video=video/avc 800x450 25.0fps | audio=audio/mp4a-latm 1ch 24000Hz | renderedFrames=1379 | frameDelta=25
09-01 20:24:07.652 D/OKTV_DIAGNOSTIC(29830): state=3 | isPlaying=true | isLoading=true | pos=6153 | posDelta=1005 | buffered=10040 | bufferDelta=0 | totalBuf=3886 | video=video/avc 800x450 25.0fps | audio=audio/mp4a-latm 1ch 24000Hz | renderedFrames=1404 | frameDelta=25
09-01 20:24:08.653 D/OKTV_DIAGNOSTIC(29830): state=3 | isPlaying=true | isLoading=true | pos=2156 | posDelta=-3997 | buffered=7000 | bufferDelta=-3040 | totalBuf=4843 | video=video/avc 800x450 25.0fps | audio=audio/mp4a-latm 1ch 24000Hz | renderedFrames=1429 | frameDelta=25
09-01 20:24:09.653 D/OKTV_DIAGNOSTIC(29830): state=3 | isPlaying=true | isLoading=true | pos=3155 | posDelta=999 | buffered=10040 | bufferDelta=3040 | totalBuf=6884 | video=video/avc 800x450 25.0fps | audio=audio/mp4a-latm 1ch 24000Hz | renderedFrames=1454 | frameDelta=25
09-01 20:24:10.655 D/OKTV_DIAGNOSTIC(29830): state=3 | isPlaying=true | isLoading=true | pos=4158 | posDelta=1003 | buffered=12080 | bufferDelta=2040 | totalBuf=7921 | video=video/avc 800x450 25.0fps | audio=audio/mp4a-latm 1ch 24000Hz | renderedFrames=1479 | frameDelta=25
09-01 20:24:11.655 D/OKTV_DIAGNOSTIC(29830): state=3 | isPlaying=true | isLoading=true | pos=5158 | posDelta=1000 | buffered=13720 | bufferDelta=1640 | totalBuf=8561 | video=video/avc 800x450 25.0fps | audio=audio/mp4a-latm 1ch 24000Hz | renderedFrames=1504 | frameDelta=25
09-01 20:24:12.657 D/OKTV_DIAGNOSTIC(29830): state=3 | isPlaying=true | isLoading=false | pos=6159 | posDelta=1001 | buffered=15040 | bufferDelta=1320 | totalBuf=8880 | video=video/avc 800x450 25.0fps | audio=audio/mp4a-latm 1ch 24000Hz | renderedFrames=1529 | frameDelta=25
09-01 20:24:13.658 D/OKTV_DIAGNOSTIC(29830): state=3 | isPlaying=true | isLoading=false | pos=7163 | posDelta=1004 | buffered=15040 | bufferDelta=0 | totalBuf=7876 | video=video/avc 800x450 25.0fps | audio=audio/mp4a-latm 1ch 24000Hz | renderedFrames=1555 | frameDelta=26
